State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Total Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?,Record Date
KS,128,415,382-4657,no,yes,25,265.1,110,45.07,75.56,197.4,99,16.78,244.7,91,11.01,10,3,2.7,1,False.,2020-08-24
OH,107,415,371-7191,no,yes,26,161.6,123,27.47,59.24,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,False.,2019-09-23
NJ,137,415,358-1921,no,no,0,243.4,114,41.38,62.29,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,False.,2020-03-09
OH,84,408,375-9999,yes,no,0,299.4,71,50.9,66.8,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,False.,2019-07-08
OK,75,415,330-6626,yes,no,0,166.7,113,28.34,52.09,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,False.,2020-02-14
AL,118,510,391-8027,yes,no,0,223.4,98,37.98,67.61,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0,False.,2019-07-28
MA,121,510,355-9993,no,yes,24,218.2,88,37.09,78.31,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3,False.,2019-06-07
MO,147,415,329-9001,yes,no,0,157,79,26.69,46.9,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,False.,2020-08-22
LA,117,408,335-4719,no,no,0,184.5,97,31.37,73.32,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1,False.,2020-04-10
WV,141,415,330-8173,yes,yes,37,258.6,84,43.96,80.54,222,111,18.87,326.4,97,14.69,11.2,5,3.02,0,False.,2020-06-06
IN,65,415,329-6603,no,no,0,129.1,137,21.95,54.2,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,True.,2019-06-06
RI,74,415,344-9403,no,no,0,187.7,127,31.91,57.08,163.4,148,13.89,196,94,8.82,9.1,5,2.46,0,False.,2019-09-23
IA,168,408,363-1107,no,no,0,128.8,96,21.9,40.19,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,False.,2019-10-12
MT,95,510,394-8006,no,no,0,156.6,88,26.62,59.64,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,False.,2019-10-17
IA,62,415,366-9238,no,no,0,120.7,70,20.52,59.31,307.2,76,26.11,203,99,9.14,13.1,6,3.54,4,False.,2019-10-11
NY,161,415,351-7269,no,no,0,332.9,67,56.59,92.29,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,True.,2020-03-27
ID,85,408,350-8884,no,yes,27,196.4,139,33.39,65.02,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1,False.,2020-05-19
VT,93,510,386-2923,no,no,0,190.7,114,32.42,58.99,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,False.,2019-07-03
VA,76,510,356-2992,no,yes,33,189.7,66,32.25,60.5,212.8,65,18.09,165.7,108,7.46,10,5,2.7,1,False.,2019-08-27
TX,73,415,373-2782,no,no,0,224.4,90,38.15,63.9,159.5,88,13.56,192.8,74,8.68,13,2,3.51,1,False.,2019-12-20
FL,147,415,396-5800,no,no,0,155.1,117,26.37,59,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0,False.,2019-06-14
CO,77,408,393-7984,no,no,0,62.4,89,10.61,36.02,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,True.,2020-06-07
